nodeType,properties
BGPPrefix:PeeringLAN:Prefix:RDNSPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:PeeringLAN:Prefix:RDNSPrefix:RIRPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:PeeringLAN:Prefix:RDNSPrefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:PeeringLAN:Prefix:RDNSPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:PeeringLAN:Prefix:RIRPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:PeeringLAN:Prefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:PeeringLAN:Prefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RDNSPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RDNSPrefix:RIRPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RDNSPrefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RDNSPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RIRPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
BGPPrefix:Prefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
CaidaIXID,[id]
CaidaOrgID,[id]
Country,"[name, country_code, alpha3]"
DomainName,[name]
Estimate,[name]
Facility,[name]
GeoPrefix:PeeringLAN:Prefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RDNSPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RDNSPrefix:RIRPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RDNSPrefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RDNSPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RIRPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:PeeringLAN:Prefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix:RDNSPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix:RDNSPrefix:RIRPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix:RDNSPrefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix:RIRPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
GeoPrefix:Prefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
HostName,[name]
IP,"[af, ip]"
IP:Resolver,"[af, ip]"
IXP,[name]
Name,[name]
OpaqueID,[id]
Organization,[name]
PeeringLAN:Prefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RDNSPrefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RDNSPrefix:RIRPrefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RDNSPrefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RDNSPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RIRPrefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
PeeringLAN:Prefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
PeeringdbFacID,[id]
PeeringdbIXID,[id]
PeeringdbNetID,[id]
PeeringdbOrgID,[id]
Point,[position]
Prefix:RDNSPrefix,"[prefixlen, af, prefix, network]"
Prefix:RDNSPrefix:RIRPrefix,"[prefixlen, af, prefix, network]"
Prefix:RDNSPrefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
Prefix:RDNSPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
Prefix:RIRPrefix,"[prefixlen, af, prefix, network]"
Prefix:RIRPrefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
Prefix:RPKIPrefix,"[prefixlen, af, prefix, network]"
Ranking,[name]
Tag,[label]
URL,[url]
